ExpID,SiteID,Series,CollectionID,Country,SiteName,year,date,conductivity,cl,so4,hco3
FENIX21,SI1,1,SI1210715,Italy,Hotel Sinuessa anfora,2021,07/15/21,6555,NA,NA,1220
FENIX21,SI2,2,SI2210715,Italy,Hotel Sinuess pozzo,2021,07/15/21,7800,840.73,404.91,1708
FENIX21,SP,3B,SP210924,Italy,Sorgente Petrinum,2021,09/24/21,700,886.98,75.72,2440
FENIX21,PI,4,PI210924,Italy,Piccolo Inferno,2021,09/24/21,3270,24.89,3857.57,0
FENIX21,CF,5,CF210924,Italy,Terme Caracciolo Forte,2021,09/24/21,3067,121.69,454.65,1708
FENIX21,ML,6,ML210924,Italy,Madonna dei Lattani,2021,09/24/21,220,8.67,1.33,244
FENIX21,FE,7,FE211015,Italy,Sorgente Ferrata,2021,10/15/21,1946,33.37,19.5,976
FENIX21,CA,8,CA211015,Italy,Acqua Cantani,2021,10/15/21,2757,89.76,29.12,1464
FENIX21,CG,9,CG211015,Italy,Capasso geyser,2021,10/15/21,9780,920,220.49,1708
FENIX21,VR,10,VR211015,Italy,Varchera,2021,10/15/21,8850,41.6,1678.51,1220
FENIX21,GA,11,GA211029,Italy,Grotta dell'acqua,2021,10/29/21,16738,4862.66,149.41,976
FENIX21,SN,12,"SN211029
",Italy,Stufe di Nerone,2021,10/29/21,33106,11255.13,567.92,488
FENIX21,LS,13,LS211029,Italy,Lido lo scoglio,2021,10/29/21,33106,11687.57,655.52,732
FENIX21,AS,-,AS211029,Italy,Acqua sauna lido scoglio,2021,10/29/21,54338,18750.75,1693.83,NA
